timestamp,vehicleType,brand,colorLabel,colorHex,model,licensePlate,Event
2026-05-20T09:03:00.000Z,รถจักรยานยนต์,Mitsubishi,ดำ,#000000,Wave 110i,8ลฒ กรุงเทพมหานคร 1961,No
2026-05-20T09:04:00.000Z,รถกระบะ,Nissan,เงิน,#C0C0C0,Ranger,ลค 2267 เชียงใหม่,No
2026-05-20T09:06:00.000Z,รถเก๋ง,Honda,น้ำเงิน,#0000FF,Accord,5ดฝ 8487 สมุทรปราการ,No
2026-05-20T09:08:00.000Z,รถกระบะ,Mitsubishi,ขาว,#FFFFFF,D-Max,8บณ 317 นนทบุรี,No
2026-05-20T09:11:00.000Z,รถเก๋ง,Mitsubishi,เงิน,#C0C0C0,Yaris,บฝ 4323 สมุทรปราการ,No
2026-05-20T09:13:00.000Z,รถกระบะ,Honda,ขาว,#FFFFFF,Ranger,4ทฉ 9805 กรุงเทพมหานคร,No
2026-05-20T09:15:00.000Z,รถกระบะ,Mazda,ดำ,#000000,Hilux Revo,รฉ 3121 เชียงใหม่,No
2026-05-20T09:17:00.000Z,รถเก๋ง,Mazda,เงิน,#C0C0C0,HR-V,ณย 3840 ระยอง,No
2026-05-20T09:18:00.000Z,รถบัส,Isuzu,เงิน,#C0C0C0,B8R,8ลผ 3917 ชลบุรี,No
2026-05-20T09:21:00.000Z,รถกระบะ,Isuzu,ดำ,#000000,D-Max,5ฒค 8401 ชลบุรี,No
2026-05-20T09:23:00.000Z,รถกระบะ,Nissan,เทา,#808080,Hilux Revo,6มค 6780 กรุงเทพมหานคร,No
2026-05-20T09:25:00.000Z,รถเก๋ง,Nissan,แดง,#FF0000,Yaris,2ฆถ 8392 เชียงใหม่,No
2026-05-20T09:27:00.000Z,รถตู้,Mazda,ขาว,#FFFFFF,Majesty,8ลฮ 7215 ปทุมธานี,No
2026-05-20T09:28:00.000Z,รถเก๋ง,Isuzu,ขาว,#FFFFFF,Kicks,ฒฝ 3261 สมุทรปราการ,No
2026-05-20T09:30:00.000Z,รถเก๋ง,Isuzu,เทา,#808080,City,2ฎฏ 5326 ระยอง,No
2026-05-20T09:32:00.000Z,รถกระบะ,Toyota,เทา,#808080,D-Max,3ฅห 7692 สมุทรปราการ,No
2026-05-20T09:34:00.000Z,รถเก๋ง,Toyota,ดำ,#000000,Vios,9ฌย 2916 กรุงเทพมหานคร,No
2026-05-20T09:36:00.000Z,รถกระบะ,Nissan,ขาว,#FFFFFF,D-Max,ฬฌ 8095 สมุทรปราการ,No
2026-05-20T09:38:00.000Z,รถจักรยานยนต์,Honda,ดำ,#000000,Grand Filano,6ฐญ เชียงใหม่ 7412,No
2026-05-20T09:40:00.000Z,รถกระบะ,Toyota,ดำ,#000000,Hilux Revo,1ปฝ 8334 ระยอง,No
2026-05-20T09:43:00.000Z,รถเก๋ง,Mitsubishi,ดำ,#000000,HR-V,7ญท 2834 กรุงเทพมหานคร,No
2026-05-20T09:45:00.000Z,รถกระบะ,Honda,ดำ,#000000,Hilux Revo,พฉ 8962 กรุงเทพมหานคร,No
2026-05-20T09:47:00.000Z,รถกระบะ,Mazda,ขาว,#FFFFFF,Hilux Revo,8นด 7807 ระยอง,No
2026-05-20T09:48:00.000Z,รถกระบะ,Mitsubishi,เงิน,#C0C0C0,D-Max,5ฟฑ 718 ชลบุรี,No
2026-05-20T09:51:00.000Z,รถเก๋ง,Nissan,เงิน,#C0C0C0,Civic,สธ 3378 ชลบุรี,No
2026-05-20T09:53:00.000Z,รถเก๋ง,Nissan,เงิน,#C0C0C0,Corolla Cross,3ษส 1707 ระยอง,No
2026-05-20T09:55:00.000Z,รถเก๋ง,Toyota,ดำ,#000000,Civic,ถฑ 6692 นนทบุรี,No
2026-05-20T09:57:00.000Z,รถจักรยานยนต์,Honda,เงิน,#C0C0C0,Click 160,3ฏณ ชลบุรี 8627,No
2026-05-20T09:58:00.000Z,รถกระบะ,Toyota,ขาว,#FFFFFF,D-Max,3ฐย 8967 ชลบุรี,No
2026-05-20T10:00:00.000Z,รถเก๋ง,Nissan,เทา,#808080,Vios,6ฎฆ 9641 ปทุมธานี,No
2026-05-20T10:03:00.000Z,รถบัส,Isuzu,น้ำเงิน,#0000FF,B8R,งฏ 5420 ปทุมธานี,No
2026-05-20T10:05:00.000Z,รถเก๋ง,Mitsubishi,แดง,#FF0000,Vios,4วฃ 690 เชียงใหม่,No
2026-05-20T10:07:00.000Z,รถเก๋ง,Mazda,ดำ,#000000,Camry,สฎ 6820 ระยอง,No
2026-05-20T10:09:00.000Z,รถเก๋ง,Mazda,ดำ,#000000,Accord,1มฐ 8572 สมุทรปราการ,No
2026-05-20T10:10:00.000Z,รถกระบะ,Mitsubishi,ดำ,#000000,Hilux Revo,ดฑ 801 นนทบุรี,No
2026-05-20T10:13:00.000Z,รถเก๋ง,Mitsubishi,ดำ,#000000,Yaris,ถฉ 9435 เชียงใหม่,No
2026-05-20T10:15:00.000Z,รถจักรยานยนต์,Nissan,เงิน,#C0C0C0,PCX 160,6ธฟ ระยอง 397,No
2026-05-20T10:17:00.000Z,รถกระบะ,Mitsubishi,ดำ,#000000,D-Max,2ฏฌ 8579 สมุทรปราการ,No
2026-05-20T10:19:00.000Z,รถเก๋ง,Mazda,เทา,#808080,Vios,ณภ 5385 ชลบุรี,No
2026-05-20T10:21:00.000Z,รถเก๋ง,Isuzu,ขาว,#FFFFFF,HR-V,2ลฝ 2935 ระยอง,No
2026-05-20T10:23:00.000Z,รถบัส,Nissan,เทา,#808080,K360,6ฉษ 6398 ปทุมธานี,No
2026-05-20T10:24:00.000Z,รถจักรยานยนต์,Toyota,ขาว,#FFFFFF,Click 160,5กฐ ชลบุรี 274,No
2026-05-20T10:27:00.000Z,รถกระบะ,Nissan,ขาว,#FFFFFF,Hilux Revo,7นญ 2775 นนทบุรี,No
2026-05-20T10:28:00.000Z,รถกระบะ,Mitsubishi,ดำ,#000000,D-Max,ชส 1206 กรุงเทพมหานคร,No
2026-05-20T10:31:00.000Z,รถจักรยานยนต์,Nissan,น้ำเงิน,#0000FF,Wave 110i,6ณอ ระยอง 7299,No
2026-05-20T10:32:00.000Z,รถเก๋ง,Nissan,ขาว,#FFFFFF,HR-V,7ฒห 3043 ระยอง,No
2026-05-20T10:34:00.000Z,รถเก๋ง,Isuzu,เทา,#808080,Civic,5ฝฅ 8482 นนทบุรี,No
2026-05-20T10:36:00.000Z,รถกระบะ,Mazda,ขาว,#FFFFFF,D-Max,1ลผ 6229 ปทุมธานี,No
2026-05-20T10:38:00.000Z,รถเก๋ง,Isuzu,ขาว,#FFFFFF,Corolla Cross,ถซ 9379 ปทุมธานี,No
2026-05-20T10:41:00.000Z,รถตู้,Nissan,ดำ,#000000,Commuter,ฑฃ 9206 กรุงเทพมหานคร,No
2026-05-20T10:42:00.000Z,รถเก๋ง,Isuzu,เงิน,#C0C0C0,Civic,ฟถ 9272 สมุทรปราการ,No
2026-05-20T10:44:00.000Z,รถกระบะ,Toyota,เทา,#808080,D-Max,ษภ 7074 ปทุมธานี,No
2026-05-20T10:47:00.000Z,รถเก๋ง,Nissan,เทา,#808080,Corolla Cross,3บด 4271 สมุทรปราการ,No
2026-05-20T10:49:00.000Z,รถบัส,Mazda,ดำ,#000000,B8R,6ษจ 4815 ปทุมธานี,No
2026-05-20T10:50:00.000Z,รถเก๋ง,Mitsubishi,ขาว,#FFFFFF,Almera,9ษป 2821 ระยอง,Yes
2026-05-20T10:53:00.000Z,รถกระบะ,Nissan,ขาว,#FFFFFF,D-Max,วร 6460 เชียงใหม่,No
2026-05-20T10:55:00.000Z,รถเก๋ง,Honda,ขาว,#FFFFFF,HR-V,4ปศ 8708 นนทบุรี,No
2026-05-20T10:57:00.000Z,รถกระบะ,Mazda,เงิน,#C0C0C0,Hilux Revo,3ผง 7030 กรุงเทพมหานคร,No
2026-05-20T10:58:00.000Z,รถเก๋ง,Mitsubishi,เงิน,#C0C0C0,Accord,3ฎพ 5670 นนทบุรี,No
2026-05-20T11:01:00.000Z,รถกระบะ,Mazda,เงิน,#C0C0C0,D-Max,ดห 7025 สมุทรปราการ,No
2026-05-20T11:02:00.000Z,รถเก๋ง,Mitsubishi,เทา,#808080,Camry,1ฏต 1322 กรุงเทพมหานคร,No
2026-05-20T11:05:00.000Z,รถกระบะ,Honda,เทา,#808080,Ranger,7ชง 4355 กรุงเทพมหานคร,No
2026-05-20T11:07:00.000Z,รถเก๋ง,Mitsubishi,ดำ,#000000,Almera,ทล 8878 สมุทรปราการ,No
2026-05-20T11:08:00.000Z,รถกระบะ,Mitsubishi,เงิน,#C0C0C0,Hilux Revo,6ณด 2272 ปทุมธานี,No
2026-05-20T11:10:00.000Z,รถเก๋ง,Nissan,ขาว,#FFFFFF,HR-V,วภ 509 ปทุมธานี,No
2026-05-20T11:13:00.000Z,รถเก๋ง,Mitsubishi,เงิน,#C0C0C0,Corolla Cross,งพ 464 เชียงใหม่,No
2026-05-20T11:14:00.000Z,รถกระบะ,Isuzu,ขาว,#FFFFFF,D-Max,5คฎ 6647 ระยอง,No
2026-05-20T11:16:00.000Z,รถตู้,Isuzu,เทา,#808080,Majesty,ถช 3473 สมุทรปราการ,No
2026-05-20T11:18:00.000Z,รถเก๋ง,Nissan,เทา,#808080,Vios,2ลฐ 7546 ปทุมธานี,No
